MET,	Altitude,	Pressure,	Temperature,	DeltaH,	Acceleration X,	Y,	Z,	Orientation X,	Y,	Z,	GPS Latitude,	GPS Longitude,	Software State
0:0:24,87.93,101372.00,26.10,-0.17,-9.69,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:25,88.35,101369.00,26.10,0.42,-9.68,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:25,88.35,101372.00,26.10,0.00,-9.68,-0.41,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:25,88.01,101375.00,26.10,-0.33,-9.68,-0.41,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:25,88.35,101375.00,26.10,0.33,-9.68,-0.37,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:25,87.60,101378.00,26.10,-0.75,-9.69,-0.38,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:25,87.60,101370.00,26.10,0.00,-9.67,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:25,88.10,101375.00,26.10,0.50,-9.69,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:25,88.43,101368.00,26.10,0.33,-9.68,-0.41,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:26,87.77,101379.00,26.10,-0.66,-9.67,-0.37,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:26,88.51,101368.00,26.10,0.75,-9.65,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:26,88.10,101368.00,26.10,-0.42,-9.71,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:26,88.01,101381.00,26.10,-0.08,-9.68,-0.38,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:26,87.68,101366.00,26.10,-0.33,-9.68,-0.37,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:26,88.76,101374.00,26.10,1.08,-9.67,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:26,88.18,101373.00,26.10,-0.58,-9.66,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:26,87.85,101377.00,26.10,-0.33,-9.69,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:27,87.85,101378.00,26.10,0.00,-9.69,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:27,87.35,101373.00,26.10,-0.50,-9.67,-0.40,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:27,87.60,101385.00,26.10,0.25,-9.68,-0.37,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:27,87.93,101383.00,26.10,0.33,-9.68,-0.39,-0.14,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:27,87.93,101379.00,26.10,0.00,-9.69,-0.41,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:27,87.77,101375.00,26.10,-0.17,-9.66,-0.40,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:27,87.60,101379.00,26.10,-0.17,-9.67,-0.37,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:27,87.43,101381.00,26.10,-0.17,-9.68,-0.41,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:28,87.60,101370.00,26.10,0.17,-9.70,-0.41,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:28,87.77,101373.00,26.10,0.17,-9.67,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:28,87.60,101378.00,26.10,-0.17,-9.67,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:28,88.18,101377.00,26.10,0.58,-9.67,-0.38,-0.14,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:28,88.85,101369.00,26.10,0.66,-9.67,-0.38,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:28,88.60,101372.00,26.10,-0.25,-9.68,-0.43,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:28,88.18,101367.00,26.10,-0.42,-9.68,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:28,87.68,101373.00,26.10,-0.50,-9.69,-0.42,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:29,87.93,101377.00,26.10,0.25,-9.70,-0.39,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:29,87.52,101379.00,26.10,-0.42,-9.67,-0.41,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:29,88.18,101376.00,26.10,0.66,-9.67,-0.40,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:29,87.52,101379.00,26.10,-0.66,-9.68,-0.39,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:29,87.77,101380.00,26.20,0.25,-9.67,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:29,87.27,101382.00,26.20,-0.50,-9.68,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:29,87.27,101378.00,26.10,0.00,-9.68,-0.39,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:29,87.43,101382.00,26.10,0.17,-9.66,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:30,88.18,101379.00,26.10,0.75,-9.68,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:30,87.93,101378.00,26.20,-0.25,-9.68,-0.41,-0.14,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:30,87.68,101379.00,26.20,-0.25,-9.67,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:30,87.68,101378.00,26.20,0.00,-9.67,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:30,87.43,101377.00,26.10,-0.25,-9.68,-0.42,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:30,87.93,101378.00,26.10,0.50,-9.67,-0.41,-0.17,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:30,88.26,101375.00,26.10,0.33,-9.68,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:30,87.60,101383.00,26.20,-0.66,-9.68,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:31,87.77,101376.00,26.10,0.17,-9.67,-0.40,-0.20,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:31,87.43,101376.00,26.20,-0.33,-9.67,-0.38,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:31,87.77,101375.00,26.10,0.33,-9.67,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:31,87.27,101374.00,26.10,-0.50,-9.68,-0.39,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:31,87.77,101377.00,26.20,0.50,-9.67,-0.40,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:31,87.68,101381.00,26.10,-0.08,-9.69,-0.40,-0.21,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:31,87.93,101372.00,26.10,0.25,-9.67,-0.41,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:31,87.93,101380.00,26.10,0.00,-9.67,-0.40,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:32,87.52,101377.00,26.20,-0.42,-9.68,-0.37,-0.15,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:32,87.68,101378.00,26.10,0.17,-9.67,-0.38,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:32,87.85,101379.00,26.20,0.17,-9.69,-0.37,-0.16,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:32,87.68,101383.00,26.20,-0.17,-9.67,-0.40,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:32,87.85,101379.00,26.20,0.17,-9.66,-0.39,-0.18,0.00,-87.38,177.63,0.00,0.00,Standby
0:0:32,87.52,101375.00,26.10,-0.33,-9.67,-0.39,-0.19,0.00,-87.38,177.63,0.00,0.00,Standby
